Date,Open,High,Low,Close,Volume,Name,MA_20,RSI_14,MACD,MACD_Signal,Market_Regime,Open_binned,High_binned,Low_binned,Close_binned,Volume_binned
2006-01-31,-1.5461182117395817,-1.562708594112872,-1.5425388531058897,-1.5647640663824334,1.479349154779338,NKE,-1.4840294715052855,15.115251474615391,-0.020053850537649742,-0.011201909871703256,0,0,0,0,0,4
2006-02-01,-1.5561818140985746,-1.5197977075785265,-1.5358130730185877,-1.5197530681343132,2.6449493615084196,NKE,-1.4868613442875647,31.463631944178715,-0.019340352780278014,-0.012829598453418207,1,0,0,0,0,4
2006-02-02,-1.5162781289552925,-1.5246945093075792,-1.497646900316827,-1.5148242257204523,1.4913209934348768,NKE,-1.489047920817291,35.87161064365891,-0.01816775767490353,-0.013897230297715273,0,0,0,0,0,4
2006-02-03,-1.522864380753876,-1.5263298890885098,-1.5042233626614672,-1.5082744642017827,0.9537178376224156,NKE,-1.4914648853755432,38.07374836246971,-0.016519529734161598,-0.014421690185004539,1,0,0,0,0,4
2006-02-06,-1.470871618759811,-1.4875049341058444,-1.478068504945965,-1.4984966357928875,1.3629324038128716,NKE,-1.49307461816197,46.68669606769057,-0.014259928600003136,-0.014389337868004257,0,0,0,0,0,4
2006-02-07,-1.4934240889349464,-1.5084259282688088,-1.4943681666075395,-1.5131844311939702,0.06921658531347076,NKE,-1.4966850495977115,40.76257081337682,-0.013498755508654536,-0.014211221396134314,1,0,0,0,0,2
2006-02-08,-1.5064460966565796,-1.5035753010204136,-1.4878295726250796,-1.4936286144304722,1.2956116440459375,NKE,-1.4994746678089874,48.43294411440699,-0.011188554678075224,-0.013606688052522495,0,0,0,0,0,4
2006-02-09,-1.5031812814501786,-1.5132903161672993,-1.4861988385180724,-1.503378559173396,-0.17349301779036286,NKE,-1.5028301640852293,48.8002616269649,-0.010028836745540337,-0.012891117791126065,1,0,0,0,0,2
2006-02-10,-1.4853354308868771,-1.5084259282688088,-1.497646900316827,-1.4920090163150337,0.06323705504968215,NKE,-1.5046718358529059,55.10632311391985,-0.008098965012026005,-0.011932687235306053,0,0,0,0,0,2
2006-02-13,-1.4966703012121492,-1.5165409248761659,-1.4943681666075395,-1.4952497484366853,-0.1110039271230494,NKE,-1.5065962912901798,51.6078337855747,-0.006753181287358911,-0.010896786045716625,1,0,0,0,0,2
2006-02-14,-1.4934240889349464,-1.5100458580877143,-1.4861988385180724,-1.5017497018098398,0.3322727470742736,NKE,-1.5074064801439486,48.74192362746388,-0.006140347797374046,-0.009945498396048112,0,0,0,0,0,3
2006-02-15,-1.495046424368495,-1.5035753010204136,-1.4829420466138081,-1.4968724212494586,-0.12406116840179776,NKE,-1.5084552575283996,51.187866748005305,-0.0052011613112601385,-0.008996630979090517,1,0,0,0,0,2
2006-02-16,-1.480500547148867,-1.5003491559621662,-1.4715920649901,-1.4855459247344611,-0.9881320221922988,NKE,-1.5083745833511464,58.83823276569506,-0.0035025207661139035,-0.007897808936495195,0,0,0,0,0,0
2006-02-17,-1.495046424368495,-1.4987383567878985,-1.4764470848768536,-1.483933962624817,-0.47284772865959496,NKE,-1.5076464496927429,69.22545174500758,-0.0020031726975964226,-0.006718881688715441,1,0,0,0,0,1
2006-02-21,-1.4837222828104435,-1.4971290693901664,-1.4683630561351129,-1.4791071762830978,-0.2872659867564226,NKE,-1.5059425869471992,77.73753310671081,-0.0004205988309273767,-0.005459225117157828,0,0,0,0,0,2
2006-02-22,-1.4740752378260698,-1.4636783031541916,-1.4555078881838919,-1.4631156124887308,0.38094021375760345,NKE,-1.5040108824811438,72.57472672152724,0.002099782920924387,-0.003947423509541385,1,0,0,0,0,3
2006-02-23,-1.461296634179764,-1.4542395877654997,-1.4427490144393054,-1.4504292038620923,0.015934378855418437,NKE,-1.5016887216117758,74.17567769272446,0.005062533039503991,-0.0021454321997323098,0,0,0,0,0,2
2006-02-24,-1.4486128632572093,-1.4526715075120686,-1.4300850029986347,-1.437836250204956,0.1955551836690167,NKE,-1.4984930490315314,75.29894589892046,0.008330649429393322,-5.0215873907183536e-05,1,0,0,0,0,3
2006-02-27,-1.4360225278733971,-1.4495396424591611,-1.4253601686223571,-1.436268633648559,-0.6996916030567658,NKE,-1.4943188273072436,73.74758912290417,0.010921255335607283,0.00214407836799571,0,0,0,0,0,1
2006-02-28,-1.4438806120683154,-1.4464134872766912,-1.4253601686223571,-1.4456959685590607,1.3000064692275797,NKE,-1.489205884262325,76.8396718229643,0.012074435464872968,0.004130149787371162,1,0,0,0,0,4
2006-03-01,-1.4470339898937714,-1.4605262882414243,-1.43324218962417,-1.4551755809615026,0.13763911904522275,NKE,-1.4837264599912785,66.6018003851504,0.012084115369204396,0.005720942903737809,0,0,0,0,0,2
2006-03-02,-1.4644823392594009,-1.4747562091171684,-1.4507121036638189,-1.4599351730367403,0.6786304125373084,NKE,-1.4807355652363998,69.61242527201746,0.011574306064667805,0.006891615535923808,1,0,0,0,0,3
2006-03-03,-1.4628887444776035,-1.4684172162379738,-1.4427490144393054,-1.4551755809615026,-0.37440509008740763,NKE,-1.4777531329984523,67.67712836198596,0.011422664455267295,0.007797825319792506,0,0,0,0,0,1
2006-03-06,-1.4501931965116586,-1.4432930211826016,-1.43324218962417,-1.4441211312963835,0.8011098083736219,NKE,-1.4745454663531823,72.8440344599185,0.012055520552751942,0.008649364366384395,1,0,0,0,0,4
2006-03-07,-1.466077421296005,-1.4891052101020077,-1.478068504945965,-1.483933962624817,1.859188785272787,NKE,-1.4738173326947788,56.09867941064705,0.00923801077326769,0.008767093647761055,0,0,0,0,0,4
2006-03-08,-1.4853354308868771,-1.5003491559621662,-1.4683630561351129,-1.4823235190840176,1.4329517549479167,NKE,-1.4722742870892813,55.086177856324156,0.007053752045892425,0.008424425327387328,1,0,0,0,0,4
2006-03-09,-1.4837222828104435,-1.4923102495457738,-1.4635309914342851,-1.4742939801474737,0.33540115109882784,NKE,-1.4713075553751311,54.015861759212264,0.005902586610027738,0.00792005758391541,0,0,0,0,0,3
2006-03-10,-1.4724726776798822,-1.4875049341058444,-1.4619233446252256,-1.4823235190840176,-0.2095043555431567,NKE,-1.4702548033706624,50.507861154054254,0.0042928774034005635,0.007194621547812441,1,0,0,0,0,2
2006-03-13,-1.480500547148867,-1.501961469755989,-1.4732088678249242,-1.4920090163150337,-0.21356468384716246,NKE,-1.4702548033706624,45.64188203962787,0.002210155284014581,0.00619772829505287,0,0,0,0,0,2
2006-03-14,-1.4918032919880158,-1.5100458580877143,-1.474827206813232,-1.4887744161347096,-0.38119932090427033,NKE,-1.4699310367555636,40.5754359107181,0.000811236768578194,0.0051204299897579355,1,0,0,0,0,1
2006-03-15,-1.4788919538398595,-1.4971290693901664,-1.4699767953952423,-1.4807145912535837,0.32685809456251963,NKE,-1.468879281227751,38.49644620338731,0.0003489221185843938,0.004166128415523228,0,0,0,0,0,3
